country,country_code,year,population,gdp,christian,islam,buddhist,judaism,nonrelig,other
Chile,CL,2008,16754192,10683.21888,0.8855422340089796,0.000262377445956,0.0001440304989497,0.0012424045811352,0.0759143225310657,0.0324314135940954
Chile,CL,2009,16923784,10098.80172,0.89805640120129,0.000264194988893,0.0001507576680026,0.001227024513681,0.0695762286395635,0.0292275007024138
Chile,CL,2010,17095677,12632.87047,0.9127640856204476,0.0002635059074511,0.0001581035444706,0.0012100191270154,0.0599999437854064,0.0256043420152088
Cameroon,CM,1960,5120084,119.0539412,0.3391246223564955,0.1132930513595166,0.0,0.0,0.0006723942598187,0.5469099320241692
Cameroon,CM,1961,5198031,124.5931656,0.3361057942501628,0.1135730866844676,0.0,0.0,0.000691649608383,0.5500765609463455
Cameroon,CM,1962,5280514,130.0425699,0.3355566410199996,0.116438431946851,0.0,0.0,0.0007115576146731,0.5486078374362015
Cameroon,CM,1963,5396727,131.6420147,0.336771659948077,0.1211075958247064,0.0,0.0,0.0007317100027243,0.5433198961540114
Cameroon,CM,1964,5516519,139.2281096,0.3390907845786007,0.1268513542356843,0.0,0.0,0.0007520827843783,0.5349853198724361
Cameroon,CM,1965,5639995,142.7043076,0.3419023975514368,0.1329960891004931,0.0,0.0,0.0007726577112735,0.5243288556367964
Cameroon,CM,1966,5769377,145.8059828,0.3468301858745702,0.142376638554944,0.0,0.0,0.0007931207005001,0.5083042397705304
Cameroon,CM,1967,5905213,156.6212907,0.3549178620305711,0.1560728667966435,0.0,0.0,0.0008139535261623,0.4861692899835779
Cameroon,CM,1968,6049423,170.7826665,0.3648006445607882,0.1710159070389949,0.0,0.0,0.0008349068523313,0.4618182493495345
Cameroon,CM,1969,6202303,175.1504964,0.3752246894562743,0.184400868150933,0.0,0.0,0.0008559081762244,0.4388143432419595
Cameroon,CM,1970,6364622,178.488983,0.3850459770114942,0.1936860254083484,0.0,0.0,0.0008770417422867,0.4203909558378705
Cameroon,CM,1971,6534964,186.7248204,0.3949301042205872,0.1989933356044484,0.0,0.0,0.0008987126906667,0.4052747385636819
Cameroon,CM,1972,6713853,220.108721,0.4056300587037362,0.2025201313671743,2.8735491809379094e-07,0.0,0.0009211161899496,0.3906393273366193
Cameroon,CM,1973,6899891,271.7572901,0.4162935457224926,0.2049909232152849,5.597338913133917e-07,0.0,0.000943151606863,0.377070753022598
Cameroon,CM,1974,7093429,299.9083395,0.4261727840384904,0.2070700736963553,8.178790542264718e-07,0.0,0.0009640067785816,0.3650644052492568
Cameroon,CM,1975,7293738,386.2364503,0.4346146691469572,0.2093616795110284,1.1958543715120914e-06,0.0,0.0009831251660908,0.3550393303215519
Cameroon,CM,1976,7500503,381.4299153,0.4412913347054763,0.211910870633688,1.2971667672619497e-06,0.0,0.0009962240772571,0.3466985614031401
Cameroon,CM,1977,7695420,435.4086563,0.4467925607597917,0.2143352577119355,1.5213481274296405e-06,0.0,0.001004596880146,0.3391052013497908
Cameroon,CM,1978,7897582,581.989336,0.4518264873273107,0.2165499310809751,1.6104023069880188e-06,0.0,0.0010141818221008,0.3317425036082302
Cameroon,CM,1979,8126260,718.356902,0.4570122873142599,0.2184670600727913,1.8128943196219704e-06,0.0,0.0010304491312731,0.3241769278499484
Cameroon,CM,1980,8353022,784.1162271,0.4628836881100788,0.22,1.999294366694108e-06,0.0,0.001058449958838,0.3160558626367165
Cameroon,CM,1981,8671414,749.8475413,0.4699153673737937,0.2210544513674812,2.162421529706095e-06,0.0,0.0011550745318414,0.3074377285195857
Cameroon,CM,1982,8961339,732.2507197,0.4777063823024949,0.221577410145269,2.301508584079041e-06,0.0,0.0013390396133465,0.2989873362230052
Cameroon,CM,1983,9096017,745.5131895,0.4855518534251499,0.2215693425655869,2.424362524414912e-06,0.0,0.0015612894657232,0.2911742663404669
Cameroon,CM,1984,9334777,771.702146,0.4929372167814025,0.2210418777256512,2.641147224961848e-06,0.0,0.0017814538032367,0.284295322111776
Cameroon,CM,1985,9615379,875.3377217,0.4995061971276805,0.22,2.951013181192209e-06,0.0,0.0019673421207948,0.2785235097383435
Cameroon,CM,1986,9908081,1178.59375,0.5056188135522617,0.2184383613984334,3.1601068116102325e-06,0.0,0.0021080785257814,0.2738257450071509
Cameroon,CM,1987,10212603,1258.314128,0.511613106621019,0.2165687501484221,3.552781145128679e-06,0.0,0.0022290896858462,0.2698555121305972
Cameroon,CM,1988,10528896,1145.16556,0.5171810921944918,0.214691570866345,3.929644737268979e-06,0.0,0.0023544969072325,0.2663051698132002
Cameroon,CM,1989,10841040,1000.892613,0.5220064749191975,0.2130909694181591,4.285897201684144e-06,0.0,0.0025051962039094,0.2629196138906642
Cameroon,CM,1990,11164450,1086.717009,0.5257749912922327,0.2120341344479275,4.789272030651341e-06,0.0,0.0026994078718216,0.2594866771159874
Cameroon,CM,1991,11499192,1014.828973,0.5289128717535284,0.2135635532503187,5.166287113950254e-06,0.0,0.0030838499408714,0.2556460107497731
Cameroon,CM,1992,11835168,1005.448976,0.5315420258150173,0.2176319977344082,5.673847043444647e-06,0.0,0.0036696633624319,0.251652302377235
Cameroon,CM,1993,12177539,1309.9363,0.5329803614506765,0.2215805808971163,6.2238463801511e-06,0.0,0.0042843203037109,0.2481729220711396
Cameroon,CM,1994,12528723,700.7095019,0.5326389221890413,0.2230607878433454,6.817116819740635e-06,0.0,0.0047762424718307,0.2457827030069605
Cameroon,CM,1995,12881083,832.0066745,0.53,0.22,7.531821947729155e-06,0.0,0.0050133313248474,0.2449791368532048
Cameroon,CM,1996,13235949,826.9653223,0.5251818608815629,0.2141803783998004,8.219700861600786e-06,0.0,0.0050430066491508,0.2506756300547491
Cameroon,CM,1997,13593566,783.2516019,0.5191720878423461,0.2085616560248365,9.02345647510704e-06,0.0,0.0050191186274434,0.2639342399137988
Cameroon,CM,1998,13956862,798.7456214,0.5127518073164911,0.2030349148350045,9.994537950064351e-06,0.0,0.0049778390341222,0.2797919878052659
Cameroon,CM,1999,14332857,796.2626498,0.5066579948030143,0.1975277011872935,1.0970429921609125e-05,0.0,0.0049521610895204,0.293683178753616
Cameroon,CM,2000,14717424,708.5657316,0.5015823665893272,0.192,1.1998674179648656e-05,0.0,0.0049718263175339,0.3014338084189592
Cameroon,CM,2001,15107838,715.4702965,0.4990568839636239,0.1886331608370367,1.3292821266459098e-05,0.0,0.0052728833188899,0.3031694388406605
Cameroon,CM,2002,15511143,789.6238111,0.4991488663286264,0.1886633978307372,1.4937606670626888e-05,0.0,0.0058934746583812,0.3023452786254129
Cameroon,CM,2003,15939912,988.2412768,0.500409915948098,0.1907281628279895,1.6561656596143107e-05,0.0,0.0065881313309473,0.3000502230741543
Cameroon,CM,2004,16380768,1133.393267,0.5015722018257746,0.1936290456716423,1.7742462891956723e-05,0.0,0.0071489988916451,0.2972330080086126
Cameroon,CM,2005,16840207,1142.624663,0.5015393031476183,0.1963474162598889,1.8290972339112383e-05,0.0,0.0073999887785445,0.2946950008416091
Cameroon,CM,2006,17308981,1191.45459,0.5005479338958201,0.1989336571600878,1.8371081075244067e-05,0.0,0.0074361871477338,0.2925759782258949
Cameroon,CM,2007,17791832,1325.672482,0.4994652957856896,0.202018222856262,1.841414992384548e-05,0.0,0.007452233161354,0.2904823610591008
Cameroon,CM,2008,18307960,1492.142698,0.4982387089234555,0.2055731426298415,1.8372607652911376e-05,0.0,0.0074377744049428,0.2883284304046405
Cameroon,CM,2009,18840153,1461.389992,0.4968187273590265,0.2095776510771516,1.825364373663029e-05,0.0,0.0073833688035206,0.2860346484836514
Cameroon,CM,2010,19387794,1398.58702,0.4951581447914306,0.2140175466448409,1.8013078197231065e-05,0.0,0.0072799930797667,0.2835263024057645
China,CN,1960,654908211,89.71507492,0.0060517849550368,0.0172206210129703,0.0813707856580234,1.403819430384281e-06,0.3799999987224178,0.5153554058321211
China,CN,1961,654695926,75.96550111,0.0059403401270891,0.0170440867730691,0.0801265920122396,1.376808454517801e-06,0.380916065478352,0.5126732597523789
China,CN,1962,656851046,71.0616846,0.0058201954674465,0.0168452893904173,0.0787931979369508,1.3484750477825764e-06,0.3783480775975735,0.5187666306065991
China,CN,1963,673296335,74.46815409,0.0056930643160193,0.0166282277163323,0.077390426379191,1.3191736030081312e-06,0.3743281423746903,0.527917825819971
China,CN,1964,695808956,85.66110746,0.0055605444519818,0.0163966732708531,0.0759366314132793,1.289228064076986e-06,0.3707425063394318,0.5348282492477326
China,CN,1965,713787574,98.66816887,0.0054240934544971,0.016154120645618,0.0744485282823906,1.260300840585279e-06,0.3693183087334312,0.5346536885832224
China,CN,1966,733043892,104.5064635,0.0048548580553262,0.0158752906748036,0.07282126108813,1.227043389736883e-06,0.3743588444048445,0.5285353690560339
China,CN,1967,751760534,96.76144801,0.0037289943815737,0.0155595486921677,0.0710525077019649,1.193509190432501e-06,0.3863514124889406,0.5208040052771661
China,CN,1968,770291518,91.64545818,0.002473109906464,0.0152433855588317,0.0692939872097478,1.160098740809048e-06,0.4014498465237545,0.5117185745093119
China,CN,1969,791730531,100.3081395,0.0014666927199391,0.014958172432539,0.0676739608151615,1.1282498573646534e-06,0.4162304328917194,0.5014838201452902
China,CN,1970,812550133,113.346243,0.0010457627732072,0.0147307405208463,0.066299998759563,1.1003099782676985e-06,0.4276812526903422,0.4902411449460629
China,CN,1971,834067801,118.8424916,0.0020827434932476,0.0145889840203052,0.0667499101671911,1.0965432693382573e-06,0.4380721835206501,0.4772121801718093
China,CN,1972,854071933,132.0974104,0.0046837642407652,0.014525610063957,0.0696908219640871,1.1293734599876698e-06,0.4494461771770036,0.4627622030150943
China,CN,1973,873283695,157.3398881,0.0080696211517683,0.0145136269585834,0.0739412175299475,1.180263378196199e-06,0.4589485189735382,0.4485466244614355
China,CN,1974,891870197,160.4025469,0.0115394377495671,0.0145284288782673,0.0784360719428443,1.2346545958368012e-06,0.4639982139864482,0.4360374527023349
China,CN,1975,908744967,178.6212493,0.0144601749499896,0.0145476283886321,0.082211965191074,1.2804373318617646e-06,0.4622190798096158,0.4265598712233565
China,CN,1976,923488619,165.6809877,0.0168807637177059,0.0145740836452008,0.0853457529297998,1.3164760043724556e-06,0.4565388140998023,0.4217456475209865
China,CN,1977,937255966,185.7286207,0.0192473325290698,0.0146185345706161,0.0884916071461731,1.3541301582683316e-06,0.4512127523922432,0.4211150975157779
China,CN,1978,949836783,156.6556169,0.0215594693670922,0.0146722795779593,0.0916106236894565,1.390647149993114e-06,0.445981045382587,0.4228557135006817
China,CN,1979,962486186,184.2858531,0.0238114761643913,0.0147270566379597,0.094659248379518,1.4274097690858608e-06,0.4406107866097369,0.4252691762591319
China,CN,1980,976089953,195.14948,0.0259930333844349,0.0147749473841119,0.0975896789902234,1.462642559295229e-06,0.4348931935354859,0.4267476840631844
China,CN,1981,990237132,197.425511,0.0281101699103597,0.0148190790242208,0.100423233058208,1.4956756211963148e-06,0.4290473268857327,0.4274393689705262
China,CN,1982,1005205011,203.7227884,0.0301749563511486,0.0148647388957264,0.1031982746769633,1.529060263140967e-06,0.4233626498629164,0.4284169848586697
China,CN,1983,1021971348,225.865347,0.0321814168426007,0.0149076318307378,0.1058884159074777,1.5613936160011218e-06,0.4177621837463169,0.4295291429415028
China,CN,1984,1036158564,251.1926865,0.0341216409171313,0.0149436472343848,0.1084656469431947,1.5922589857614686e-06,0.4121793593917118,0.4306312611781675
China,CN,1985,1051540712,295.0074458,0.0359860974734658,0.0149688633721145,0.1109007916103618,1.6212302089934122e-06,0.4065573366574402,0.4315852896564084
China,CN,1986,1068074929,282.4456031,0.0377514915205398,0.0149746239887001,0.1131266239816985,1.646413390719457e-06,0.4014655411212915,0.4323265910563756
China,CN,1987,1086392285,252.2567601,0.0394210508585151,0.0149637987553111,0.1151598206845263,1.6699210808337795e-06,0.397195252533906,0.4329437376057715
China,CN,1988,1106042607,284.0235731,0.0410272013061501,0.0149493381826925,0.1170979471764014,1.6913484772713468e-06,0.3932867315261618,0.4335312243429153
China,CN,1989,1124445724,311.4294612,0.042605734460796,0.0149433735533622,0.1190391340619499,1.7139008692602446e-06,0.389294552706761,0.4341797691806593
China,CN,1990,1143536292,318.5033536,0.0441952555972753,0.0149573070299983,0.1210818128920696,1.7380692280590572e-06,0.3847870435871754,0.4349768428242531
China,CN,1991,1163629156,334.1302881,0.045880256253114,0.0149884151285316,0.1238144340801743,1.7639460104641124e-06,0.3797092917619192,0.4356085219434742
China,CN,1992,1177947900,367.8226519,0.0476351105549521,0.0150270919864765,0.1271458671149315,1.7921776797143238e-06,0.3744818960153724,0.4360023976835069
China,CN,1993,1191200574,378.9393531,0.0493387713691049,0.015073994444725,0.130187103002454,1.819891247748401e-06,0.3693857720343571,0.4365906365782374
China,CN,1994,1203416576,475.6778744,0.0508740169388174,0.0151297432534455,0.1320846513915849,1.8467999264680592e-06,0.3646938478514286,0.4377867776176382
China,CN,1995,1214589617,612.6802779,0.0521269660324661,0.0151949150319941,0.1320164043651001,1.8701484317633483e-06,0.360672138885975,0.4399877055360327
China,CN,1996,1225678238,713.3373878,0.0531347967750216,0.0152351666617049,0.1256989317211261,1.894014544321815e-06,0.3608113191617276,0.4448315977808872
China,CN,1997,1236211386,786.7435485,0.0540151770642321,0.0152509384990815,0.1126750416223981,1.920970157456473e-06,0.3661093601776291,0.4522035379640063
China,CN,1998,1246067858,835.0953486,0.0547790566937941,0.0152934052194817,0.0977165584066657,1.944281616820652e-06,0.373198232596184,0.4599385732918409
China,CN,1999,1255626395,881.1466141,0.055438869503794,0.0154119288219447,0.0853690949437142,1.958319908695734e-06,0.3788607746047003,0.465976251171555
China,CN,2000,1264726915,969.1995137,0.056007826731839,0.0156548663540302,0.0799999997808318,1.9568582942537774e-06,0.3799999999373805,0.4683353503376241
China,CN,2001,1274435436,1065.405976,0.0565247184034973,0.0168111919625243,0.0843952631363268,1.947266070411252e-06,0.3731341017080638,0.4680688435293751
China,CN,2002,1283014689,1163.559577,0.0570053213129526,0.0191063252380936,0.095530980659378,1.9396967852640163e-06,0.3597993580128135,0.4675986399708919
China,CN,2003,1290718988,1306.972454,0.0574278464434259,0.0217541256924021,0.1090467699122316,1.9329785536764003e-06,0.3444177924072811,0.4670274834022187
China,CN,2004,1298315664,1530.927262,0.0577696595071586,0.0239759917673835,0.1206283039965668,1.92597664684905e-06,0.3313699344466422,0.4664574595848168
China,CN,2005,1305884967,1777.644968,0.0580076693711002,0.0249999996931856,0.1259999992820543,1.917589760627853e-06,0.3249999998465928,0.4659904142173062
China,CN,2006,1314169304,2129.25697,0.0581524521229799,0.0251386893272199,0.1266973769538159,1.9106247890401074e-06,0.3233845078540981,0.4657107765065355
China,CN,2007,1321938768,2734.727099,0.0582277495984805,0.0252109909687441,0.1270615876183594,1.9086379034428883e-06,0.3220797855249326,0.4656094696538559
China,CN,2008,1329688395,3523.443021,0.0582304996249508,0.0252137976642475,0.1270763444414039,1.910158572605407e-06,0.3215904023393535,0.4656477240603078
China,CN,2009,1337953637,3898.244592,0.0581579613865277,0.025144310048397,0.1267269285752192,1.9129912103863985e-06,0.3224060148223216,0.4657872344835679
China,CN,2010,1347091795,4629.245517,0.0580076683179382,0.0249999994052815,0.1259999997977957,1.9172237037849024e-06,0.3249999997026407,0.4659904140658438
Colombia,CO,1960,15366105,258.3044336,0.974341722885314,0.0,0.0,0.0005405422937208,0.0,0.0251177348209652
Colombia,CO,1961,15846313,282.0994405,0.9748671713999476,0.0,0.0,0.0004245813693695,0.0,0.0247477826387263
Colombia,CO,1962,16344093,298.5438617,0.9747183125303625,0.0,0.0,0.0002800085749962,0.0,0.0249184495573897
Colombia,CO,1963,16853964,282.5883303,0.9744017661033928,0.0,0.0,0.0001415313348251,0.0,0.0252397153798367
Colombia,CO,1964,17373683,338.6759353,0.9743644583595458,0.0,0.0,3.93650891736564e-05,0.0,0.025367710270655
Colombia,CO,1965,17901139,317.0645634,0.9750011113580797,0.0,0.0,0.0,0.0,0.0249988886419204
Colombia,CO,1966,18436960,290.253386,0.976851763257392,0.0001349819182611,2.702881823411649e-06,9.730374564281937e-05,0.0003865661583843,0.0229874152741149
Colombia,CO,1967,18968415,302.8325078,0.9795640864982124,0.0004450751093864,8.898343012694618e-06,0.0003208668776293,0.0012744638616702,0.019296346414073
Colombia,CO,1968,19502820,301.5265028,0.9822330567240944,0.0007985615833789,1.595891610531222e-05,0.0005756499063324,0.0022865380795389,0.0152072049733935
Colombia,CO,1969,20030772,317.8687981,0.984038319515774,0.0010761447691277,2.150489128752335e-05,0.0007757764503536,0.0030813508532515,0.0118824026524833
Colombia,CO,1970,20553112,345.8791016,0.9842388561406928,0.0011699712573683,2.34325522482584e-05,0.0008434257319627,0.0033499780776538,0.010374336240074
Colombia,CO,1971,21070452,366.8251679,0.9822834426445712,0.0010197295731006,2.03775312033316e-05,0.0008021638852995,0.0029198158837927,0.0124258868005394
Colombia,CO,1972,21567741,397.4121174,0.9787968781770132,0.0007166938500971,1.4322824018777176e-05,0.000734286514969,0.0020521244869861,0.017561302032206
Colombia,CO,1973,22071385,462.0643757,0.9747739961555684,0.0003784527376419,7.56636846817572e-06,0.0006546923438469,0.0010836920045691,0.0236087261629172
Colombia,CO,1974,22579363,541.7499016,0.9710889027845312,0.0001088451624166,2.179518670737717e-06,0.0005763519172898,0.0003117147602889,0.0286488139386321
Colombia,CO,1975,23087575,561.0980361,0.968509914049868,0.0,0.0,0.000510594842992,0.0,0.0309794911071398
Colombia,CO,1976,23601714,643.0079145,0.967006611378772,0.0001473454893362,2.5835464759175963e-06,0.0004497871074363,0.0002671053695263,0.0312655794103013
Colombia,CO,1977,24115907,798.2030216,0.9659354401943988,0.0004894984424231,8.630027686437638e-06,0.0003858563089756,0.0009474216176712,0.0313089224342927
Colombia,CO,1978,24671081,932.3926951,0.9651034081189376,0.0008851036122005,1.558733667092493e-05,0.0003278161526668,0.0018699983179335,0.0312274613840807
Colombia,CO,1979,25229592,1095.031384,0.9643373557444976,0.0012012148894339,2.117425143205169e-05,0.0002846103293045,0.0028724429577692,0.0311304081137838
Colombia,CO,1980,25801660,1279.501167,0.9634809979916577,0.0013131469179669,2.3173180905298933e-05,0.0002645604820021,0.0037984705700602,0.0311196508574076
Colombia,CO,1981,26407335,1362.183325,0.9625005031759258,0.0011482210789931,2.024011027505594e-05,0.0002584100485023,0.0047117242930623,0.0313551345579115
Colombia,CO,1982,27019199,1425.399368,0.9615283656064556,0.0008080582538408,1.4230510280058275e-05,0.0002521881151692,0.0057125962865483,0.0317627190045273
Colombia,CO,1983,27657462,1383.792461,0.9606562897579636,0.0004268430646989,7.525391598552956e-06,0.0002463406624227,0.0067171788070135,0.0321060311270169
